scenario_id,scenario_name,success,path_found,path_length,num_waypoints,computation_time,memory_usage,cost_breakdown,error_message,executed_at
76,obstacle_field_16,True,True,10.312683355366188,71,5.487466335296631,0.0,{},,2025-10-17T20:12:16.231321
77,obstacle_field_17,True,True,7.468949835955391,56,1.4047274589538574,0.0,{},,2025-10-17T20:12:17.640522
78,obstacle_field_18,True,True,8.630326413298567,63,11.063366889953613,0.0,{},,2025-10-17T20:12:28.708058
79,obstacle_field_19,True,True,10.429500664056361,75,11.246153593063354,0.0,{},,2025-10-17T20:12:39.958366
80,narrow_passage_00,True,True,9.471674873749974,66,11.775899648666382,0.0,{},,2025-10-17T20:12:51.743283
81,narrow_passage_01,True,True,8.944199996836456,64,1.6705119609832764,0.0,{},,2025-10-17T20:12:53.420750
82,narrow_passage_02,True,True,9.522733861705017,66,7.271443843841553,0.0,{},,2025-10-17T20:13:00.699265
83,narrow_passage_03,True,True,9.511051149863103,72,30.245826244354248,0.0,{},,2025-10-17T20:13:30.952097
84,narrow_passage_04,True,True,11.094160945387024,80,79.99762034416199,0.0,{},,2025-10-17T20:14:50.957987
85,narrow_passage_05,True,True,11.727382688146283,89,57.59556436538696,0.0,{},,2025-10-17T20:15:48.563333
86,narrow_passage_06,True,True,10.165593236182001,75,1.9648399353027344,0.0,{},,2025-10-17T20:15:50.535133
87,narrow_passage_07,True,True,7.383916251784791,52,1.659496545791626,0.0,{},,2025-10-17T20:15:52.201529
88,narrow_passage_08,True,True,9.91842501409895,67,16.996159315109253,0.0,{},,2025-10-17T20:16:09.204668
89,narrow_passage_09,True,True,8.286374206530073,58,4.534486532211304,0.0,{},,2025-10-17T20:16:13.746847
90,complex_3d_00,True,True,10.024851837615088,70,7.5309672355651855,0.0,{},,2025-10-17T20:16:21.295913
91,complex_3d_01,True,True,10.808447403546014,78,52.36067271232605,0.0,{},,2025-10-17T20:17:13.672680
92,complex_3d_02,True,True,11.08664128957938,79,64.72321677207947,0.0,{},,2025-10-17T20:18:18.413321
93,complex_3d_03,True,True,9.599907811232768,71,1.6124579906463623,0.0,{},,2025-10-17T20:18:20.043208
94,complex_3d_04,True,True,9.792801030046217,75,6.451254367828369,0.0,{},,2025-10-17T20:18:26.510941
95,complex_3d_05,True,True,10.049868759783323,70,28.341564893722534,0.0,{},,2025-10-17T20:18:54.871067
96,complex_3d_06,True,True,10.781652484302905,77,50.70014405250549,0.0,{},,2025-10-17T20:19:45.588345
97,complex_3d_07,True,True,11.235242322789126,83,72.74622440338135,0.0,{},,2025-10-17T20:20:58.351952
98,complex_3d_08,True,True,11.22205390403461,87,22.174095153808594,0.0,{},,2025-10-17T20:21:20.543878
99,complex_3d_09,True,True,10.13947827460929,70,4.545715808868408,0.0,{},,2025-10-17T20:21:25.106754
